subscription_id,idempotency_key,owner_student_id,plan_type,plan_name,classes_per_month,classes_remaining,amount_ils,billing_frequency,status,created_at,updated_at
48,user_subscription_details::48,1071,solo,Halfly,0,0,0.00,custom,pending,2023-05-05 13:43:02+05:30,2023-05-05 13:43:02+05:30
51,user_subscription_details::51,1071,solo,Quarterly,4,0,0.00,monthly,pending,2023-05-12 19:57:37+05:30,2023-05-12 19:57:37+05:30
52,user_subscription_details::52,1107,solo,Monthly,4,0,0.00,monthly,pending,2023-05-13 15:29:15+05:30,2024-07-25 10:42:49+05:30
53,user_subscription_details::53,1107,solo,Yearly,16,0,0.00,monthly,pending,2023-05-14 05:51:52+05:30,2024-07-25 10:42:49+05:30
54,user_subscription_details::54,1107,solo,Yearly,20,0,0.00,monthly,pending,2023-05-14 08:30:11+05:30,2024-07-25 10:42:49+05:30
55,user_subscription_details::55,1107,solo,Monthly,4,0,0.00,monthly,pending,2023-05-14 08:30:39+05:30,2024-07-25 10:42:49+05:30
56,user_subscription_details::56,1107,solo,Quarterly,4,0,0.00,monthly,pending,2023-05-14 08:30:59+05:30,2024-07-25 10:42:49+05:30
57,user_subscription_details::57,1107,solo,Yearly,20,0,0.00,monthly,pending,2023-05-14 08:35:43+05:30,2024-07-25 10:42:49+05:30
58,user_subscription_details::58,1107,solo,Yearly,20,0,0.00,monthly,pending,2023-05-14 08:37:30+05:30,2024-07-25 10:42:49+05:30
59,user_subscription_details::59,1107,solo,Monthly,4,0,0.00,monthly,pending,2023-05-14 08:56:37+05:30,2024-07-25 10:42:49+05:30
60,user_subscription_details::60,1107,solo,Monthly,16,0,0.00,monthly,pending,2023-05-14 09:09:39+05:30,2024-07-25 10:42:49+05:30
67,user_subscription_details::67,1107,solo,Quarterly,12,0,0.00,monthly,pending,2023-05-15 10:06:14+05:30,2024-07-25 10:42:49+05:30
69,user_subscription_details::69,1107,solo,Yearly,4,0,0.00,monthly,pending,2023-05-16 21:26:32+05:30,2024-07-25 10:42:49+05:30
76,user_subscription_details::76,1107,solo,Monthly,4,0,0.00,monthly,pending,2023-05-18 07:41:44+05:30,2024-07-25 10:42:49+05:30
77,user_subscription_details::77,1107,solo,Quarterly,4,0,0.00,monthly,pending,2023-05-18 07:42:01+05:30,2024-07-25 10:42:49+05:30
79,user_subscription_details::79,1108,solo,Monthly,4,0,0.00,monthly,pending,2023-05-22 07:02:36+05:30,2025-02-16 07:57:44+05:30
91,user_subscription_details::91,1107,solo,Monthly,32,0,0.00,monthly,pending,2023-05-28 10:46:10+05:30,2024-07-25 10:42:49+05:30
94,user_subscription_details::94,1107,solo,Monthly,32,0,0.00,monthly,pending,2023-05-30 18:15:52+05:30,2024-07-25 10:42:49+05:30
97,user_subscription_details::97,1138,solo,Yearly,32,0,0.00,monthly,pending,2023-06-01 10:15:41+05:30,2024-03-17 11:24:53+05:30
