availability_id,teacher_id,day_of_week,start_time,end_time,is_active
51,1086,0,11:30:00,12:30:00,True
52,1086,0,14:00:00,17:30:00,True
53,1086,0,18:00:00,18:30:00,True
54,1086,1,11:00:00,12:30:00,True
55,1086,1,15:00:00,18:00:00,True
56,1086,2,11:00:00,12:30:00,True
57,1086,2,13:00:00,16:30:00,True
58,1086,3,10:30:00,14:00:00,True
59,1086,3,15:00:00,15:30:00,True
60,1086,3,16:00:00,17:30:00,True
61,1086,3,18:00:00,18:30:00,True
62,1086,4,18:00:00,18:30:00,True
63,1086,5,11:00:00,16:30:00,True
37,1090,0,00:00:00,23:59:00,True
38,1090,1,00:00:00,23:59:00,True
39,1090,2,00:00:00,23:59:00,True
40,1090,3,00:00:00,23:59:00,True
41,1090,4,00:00:00,23:59:00,True
42,1090,5,00:00:00,23:59:00,True
43,1090,6,00:00:00,23:59:00,True
64,1092,0,11:00:00,15:00:00,True
65,1092,1,11:00:00,15:00:00,True
66,1092,2,11:00:00,15:00:00,True
67,1092,3,11:00:00,15:00:00,True
68,1092,4,11:00:00,15:00:00,True
69,1092,5,11:00:00,15:00:00,True
26,1110,0,13:00:00,17:00:00,True
27,1110,1,13:00:00,17:00:00,True
28,1110,2,13:00:00,17:00:00,True
29,1110,4,13:00:00,17:00:00,True
30,1110,5,13:00:00,17:00:00,True
17,1116,1,10:00:00,16:00:00,True
18,1116,2,12:00:00,12:30:00,True
19,1116,2,13:00:00,14:00:00,True
20,1116,3,12:00:00,12:30:00,True
21,1116,3,13:00:00,15:00:00,True
22,1116,4,12:00:00,12:30:00,True
23,1116,4,13:00:00,15:00:00,True
24,1116,5,12:00:00,12:30:00,True
25,1116,5,13:00:00,15:00:00,True
1,1117,0,03:00:00,04:30:00,True
2,1117,0,06:00:00,06:30:00,True
3,1117,0,08:00:00,08:30:00,True
4,1117,1,06:00:00,06:30:00,True
5,1117,1,08:00:00,08:30:00,True
6,1117,2,06:00:00,06:30:00,True
7,1117,2,08:00:00,08:30:00,True
8,1117,3,06:00:00,06:30:00,True
9,1117,3,08:00:00,08:30:00,True
10,1117,4,06:00:00,06:30:00,True
11,1117,4,08:00:00,08:30:00,True
12,1117,5,06:00:00,06:30:00,True
13,1117,5,08:00:00,08:30:00,True
14,1117,6,06:00:00,07:00:00,True
15,1117,6,08:00:00,08:30:00,True
16,1117,6,09:00:00,10:30:00,True
31,1131,1,14:00:00,18:30:00,True
32,1131,2,14:00:00,18:30:00,True
33,1131,3,14:00:00,18:30:00,True
34,1131,4,14:00:00,18:30:00,True
35,1131,5,14:00:00,18:30:00,True
36,1131,6,14:00:00,18:30:00,True
44,1137,0,00:00:00,23:59:00,True
45,1137,1,00:00:00,23:59:00,True
46,1137,2,00:00:00,23:59:00,True
47,1137,3,00:00:00,23:59:00,True
48,1137,4,00:00:00,23:59:00,True
49,1137,5,00:00:00,23:59:00,True
50,1137,6,00:00:00,23:59:00,True
70,1181,1,13:30:00,14:30:00,True
71,1181,1,18:00:00,20:00:00,True
72,1181,2,13:30:00,14:30:00,True
73,1181,2,18:00:00,20:00:00,True
74,1181,3,13:30:00,14:30:00,True
75,1181,3,18:00:00,20:00:00,True
76,1181,4,13:00:00,14:30:00,True
77,1181,4,18:00:00,20:00:00,True
78,1181,5,13:00:00,14:30:00,True
79,1181,5,18:00:00,19:00:00,True
90,1302,0,07:00:00,13:30:00,True
91,1302,0,14:30:00,15:30:00,True
92,1302,0,18:00:00,19:00:00,True
93,1302,1,07:00:00,13:30:00,True
94,1302,1,14:30:00,15:30:00,True
95,1302,1,17:00:00,17:30:00,True
96,1302,1,19:00:00,19:30:00,True
97,1302,2,12:00:00,15:30:00,True
98,1302,2,17:00:00,18:30:00,True
99,1302,2,19:00:00,19:30:00,True
100,1302,3,07:00:00,15:30:00,True
101,1302,3,18:00:00,19:00:00,True
102,1302,4,07:30:00,08:00:00,True
103,1302,4,09:00:00,09:30:00,True
104,1302,4,10:00:00,10:30:00,True
105,1302,4,13:00:00,14:00:00,True
106,1302,4,17:00:00,18:30:00,True
107,1302,5,07:00:00,15:00:00,True
108,1302,5,17:30:00,19:30:00,True
80,1336,0,10:00:00,15:30:00,True
81,1336,0,16:30:00,18:00:00,True
82,1336,1,10:00:00,15:30:00,True
83,1336,1,16:30:00,18:00:00,True
84,1336,2,10:00:00,15:30:00,True
85,1336,2,16:30:00,18:00:00,True
86,1336,3,10:00:00,15:30:00,True
87,1336,3,16:30:00,18:00:00,True
88,1336,4,10:00:00,15:30:00,True
89,1336,5,11:30:00,15:30:00,True
109,1700,0,05:00:00,15:30:00,True
110,1700,0,16:00:00,21:00:00,True
111,1700,1,05:00:00,15:30:00,True
112,1700,1,16:00:00,21:00:00,True
113,1700,2,05:00:00,11:30:00,True
114,1700,2,12:00:00,15:30:00,True
115,1700,2,16:00:00,21:00:00,True
116,1700,3,05:00:00,15:30:00,True
117,1700,3,16:00:00,21:00:00,True
118,1700,4,05:00:00,10:00:00,True
119,1700,4,10:30:00,15:30:00,True
120,1700,4,16:00:00,21:00:00,True
121,1700,5,05:00:00,15:30:00,True
122,1700,5,16:00:00,21:00:00,True
123,1700,6,05:00:00,11:00:00,True
124,1769,0,08:00:00,18:30:00,True
125,1769,1,08:00:00,19:00:00,True
126,1769,2,08:00:00,18:30:00,True
898,1769,2,12:30:00,18:30:00,True
127,1769,3,08:00:00,18:30:00,True
128,1769,4,08:00:00,18:30:00,True
129,1769,5,07:00:00,17:30:00,True
899,1769,5,14:00:00,18:30:00,True
900,1769,6,15:00:00,16:00:00,True
130,1781,1,03:30:00,06:00:00,True
131,1781,1,08:00:00,09:30:00,True
132,1781,1,13:00:00,18:30:00,True
133,1781,2,03:30:00,06:00:00,True
134,1781,2,08:00:00,09:30:00,True
135,1781,2,13:00:00,18:00:00,True
136,1781,3,03:30:00,05:00:00,True
137,1781,3,08:00:00,09:30:00,True
138,1781,3,13:00:00,18:00:00,True
139,1781,4,03:30:00,05:00:00,True
140,1781,4,08:30:00,09:30:00,True
141,1781,4,13:00:00,18:00:00,True
142,1781,5,03:30:00,07:00:00,True
143,1781,5,08:00:00,09:30:00,True
144,1781,5,13:00:00,18:30:00,True
145,1781,6,03:30:00,10:00:00,True
146,1781,6,14:00:00,17:00:00,True
147,1830,1,12:00:00,18:00:00,True
148,1830,2,12:00:00,17:30:00,True
149,1830,3,12:00:00,17:30:00,True
150,1830,4,12:00:00,18:00:00,True
264,2198,0,10:00:00,15:30:00,True
265,2198,1,10:30:00,15:30:00,True
266,2198,1,16:30:00,17:00:00,True
267,2198,2,10:30:00,15:30:00,True
268,2198,2,16:30:00,17:00:00,True
269,2198,3,10:00:00,15:30:00,True
270,2198,3,16:30:00,17:00:00,True
271,2198,4,10:00:00,15:30:00,True
272,2198,5,08:30:00,14:30:00,True
151,2208,0,12:30:00,14:00:00,True
152,2208,1,10:30:00,15:00:00,True
153,2208,2,10:30:00,15:00:00,True
154,2208,3,10:30:00,15:00:00,True
155,2208,4,10:30:00,15:00:00,True
156,2208,5,10:30:00,14:30:00,True
157,2278,0,06:00:00,16:00:00,True
158,2278,0,18:00:00,18:30:00,True
159,2278,2,10:00:00,14:30:00,True
160,2278,2,15:30:00,16:00:00,True
161,2278,2,17:00:00,18:30:00,True
162,2278,2,19:30:00,20:00:00,True
163,2278,3,10:00:00,14:00:00,True
164,2278,3,14:30:00,16:30:00,True
165,2278,3,17:00:00,18:30:00,True
166,2278,4,06:30:00,07:30:00,True
167,2278,4,09:00:00,14:00:00,True
168,2278,4,14:30:00,16:00:00,True
169,2278,4,16:30:00,17:00:00,True
170,2278,4,18:00:00,18:30:00,True
171,2278,5,06:30:00,07:00:00,True
172,2278,5,10:00:00,12:30:00,True
173,2278,5,13:00:00,13:30:00,True
174,2278,5,14:00:00,14:30:00,True
175,2278,5,15:00:00,16:00:00,True
176,2278,5,16:30:00,17:00:00,True
177,2278,6,07:00:00,11:00:00,True
178,2278,6,12:00:00,16:30:00,True
179,2278,6,17:00:00,18:30:00,True
180,2350,0,09:00:00,14:00:00,True
181,2350,1,09:00:00,14:00:00,True
182,2350,2,09:00:00,14:00:00,True
183,2350,3,09:00:00,14:00:00,True
184,2350,4,10:00:00,14:00:00,True
185,2350,5,09:00:00,15:00:00,True
186,2391,0,12:00:00,17:00:00,True
187,2391,1,12:00:00,16:00:00,True
188,2391,2,12:00:00,16:00:00,True
189,2391,3,13:00:00,16:00:00,True
190,2391,4,11:30:00,17:00:00,True
191,2391,5,10:00:00,17:00:00,True
192,2401,1,11:00:00,16:00:00,True
193,2401,2,12:30:00,16:00:00,True
194,2401,3,11:00:00,15:30:00,True
195,2401,4,13:00:00,16:00:00,True
196,2401,5,10:30:00,16:00:00,True
472,2468,1,06:00:00,18:30:00,True
473,2468,2,06:00:00,18:30:00,True
474,2468,3,06:00:00,18:30:00,True
475,2468,4,06:00:00,18:30:00,True
476,2468,5,06:00:00,18:30:00,True
299,2488,0,13:00:00,18:00:00,True
300,2488,1,13:00:00,18:00:00,True
301,2488,2,13:00:00,18:00:00,True
302,2488,3,13:00:00,18:00:00,True
303,2488,4,13:00:00,18:00:00,True
203,2503,1,13:30:00,17:30:00,True
204,2503,2,12:30:00,18:00:00,True
205,2503,3,13:30:00,17:30:00,True
206,2503,4,13:00:00,18:30:00,True
207,2503,5,14:00:00,15:00:00,True
208,2503,5,15:30:00,18:00:00,True
209,2583,1,05:00:00,09:00:00,True
210,2583,1,12:00:00,17:30:00,True
211,2583,2,05:00:00,09:00:00,True
212,2583,2,12:00:00,18:00:00,True
213,2583,3,05:00:00,09:00:00,True
214,2583,3,12:00:00,17:30:00,True
215,2583,4,05:00:00,09:00:00,True
216,2583,4,12:00:00,17:30:00,True
217,2583,5,05:00:00,09:00:00,True
218,2583,5,12:00:00,17:30:00,True
219,2791,1,12:30:00,18:00:00,True
220,2791,2,12:30:00,18:00:00,True
221,2791,3,12:30:00,17:00:00,True
222,2791,4,12:30:00,17:00:00,True
223,2791,5,12:00:00,15:30:00,True
224,3019,0,12:00:00,15:30:00,True
225,3019,1,13:00:00,15:00:00,True
226,3019,2,12:00:00,15:30:00,True
227,3019,3,12:00:00,15:30:00,True
228,3019,4,12:00:00,15:30:00,True
229,3026,1,10:00:00,16:30:00,True
230,3026,2,10:00:00,16:30:00,True
231,3026,3,10:00:00,16:30:00,True
232,3026,4,10:00:00,16:30:00,True
233,3026,5,10:00:00,16:30:00,True
234,3099,1,11:00:00,19:30:00,True
235,3099,2,11:00:00,20:00:00,True
236,3099,3,11:00:00,19:30:00,True
237,3099,4,11:00:00,19:30:00,True
238,3099,5,11:00:00,19:30:00,True
239,3134,1,10:00:00,14:00:00,True
240,3134,2,10:00:00,14:00:00,True
241,3134,3,10:00:00,14:00:00,True
242,3134,4,10:00:00,14:00:00,True
243,3134,5,10:00:00,14:00:00,True
244,3447,0,16:30:00,20:00:00,True
245,3447,1,16:30:00,20:00:00,True
246,3447,2,16:30:00,20:00:00,True
247,3447,3,16:30:00,20:00:00,True
248,3447,4,16:30:00,20:00:00,True
249,3551,0,12:00:00,16:00:00,True
250,3551,1,12:00:00,19:00:00,True
251,3551,2,12:00:00,19:00:00,True
252,3551,3,12:00:00,19:00:00,True
253,3551,4,12:00:00,19:00:00,True
254,3551,5,11:30:00,16:00:00,True
285,3574,0,14:30:00,15:30:00,True
286,3574,0,17:00:00,19:00:00,True
287,3574,1,14:30:00,15:30:00,True
288,3574,1,17:00:00,19:30:00,True
289,3574,2,14:30:00,15:30:00,True
290,3574,2,17:00:00,19:00:00,True
291,3574,3,14:30:00,15:30:00,True
292,3574,3,17:00:00,19:30:00,True
293,3574,4,14:30:00,15:30:00,True
294,3574,4,17:00:00,19:00:00,True
295,3574,6,08:00:00,11:00:00,True
296,3574,6,11:30:00,12:00:00,True
297,3574,6,12:30:00,15:30:00,True
